WHITE-ELEPHANT SIMULATOR
Do better-quality gifts get stolen more?
Generated for 10 Players over 100000 iterations
------------------------------

1 2998
2 6007
3 5940
4 6085
5 5968
6 6185
7 6115
8 6151
9 6174
10 6132
11 6197
12 6244
13 6046
14 6238
15 6013
16 6091
17 6031
18 6136
19 6066
20 6110
21 6056
22 6184
23 6068
24 6052
25 6255
26 6260
27 6055
28 6161
29 6216
30 6467
31 6029
32 6265
33 6303
34 6167
35 6100
36 6199
37 6070
38 6195
39 6238
40 6301
41 6023
42 6339
43 6279
44 6174
45 6275
46 6042
47 6384
48 6290
49 6290
50 6006
51 6190
52 6313
53 6319
54 6297
55 6225
56 6314
57 6360
58 6252
59 6227
60 6249
61 6502
62 6116
63 6273
64 6401
65 6222
66 6047
67 6456
68 6208
69 6371
70 6332
71 6300
72 6323
73 6279
74 6414
75 6160
76 6464
77 6363
78 6331
79 6283
80 6387
81 6294
82 6340
83 6297
84 6393
85 6501
86 6490
87 6297
88 6481
89 6401
90 6248
91 6361
92 6425
93 6571
94 6319
95 6367
96 6481
97 6423
98 6481
99 6362
100 3102
